CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2;0.0;619.0;688.0;10
2;0.0;1018.0;1068.0;20
2;0.0;1422.0;1494.0;30
2;0.0;1786.0;1848.0;40
2;0.0;2170.0;2245.0;50
2;0.0;2583.0;2646.0;60
2;0.0;2984.0;3087.0;70
2;0.0;3330.0;3336.0;80
2;0.0;3783.0;3812.0;90
2;0.0;4124.0;4218.0;100
2;0.0;4595.0;4588.0;110
2;0.0;4928.0;4989.0;120
2;0.0;5359.0;5365.0;130
2;0.0;5783.0;5766.0;140
2;0.0;6139.0;6214.0;150
2;0.0;6441.0;6631.0;160
2;0.0;6937.0;6933.0;170
2;0.0;7328.0;7407.0;180
2;0.0;7706.0;7708.0;190
2;0.0;8029.0;8102.0;200
2;0.0;8573.0;8544.0;210
2;0.0;8958.0;8950.0;220
2;0.0;9313.0;9328.0;230
2;0.0;9680.0;9595.0;240
2;0.0;10049.0;10175.0;250
2;0.0;392.0;466.0;5
2;0.0;832.0;891.0;15
2;0.0;1185.0;1276.0;25
2;0.0;1581.0;1669.0;35
2;0.0;1992.0;2027.0;45
2;0.0;2404.0;2442.0;55
2;0.0;2755.0;2844.0;65
2;0.0;3142.0;3235.0;75
2;0.0;3584.0;3600.0;85
2;0.0;3952.0;4046.0;95
2;0.0;4317.0;4392.0;105
2;0.0;4828.0;4817.0;115
2;0.0;5117.0;5229.0;125
2;0.0;5562.0;5582.0;135
2;0.0;6004.0;6020.0;145
2;0.0;6410.0;6399.0;155
2;0.0;6741.0;6871.0;165
2;0.0;7104.0;7146.0;175
2;0.0;7532.0;7585.0;185
2;0.0;7849.0;7889.0;195
2;0.0;8199.0;8274.0;205
2;0.0;8602.0;8637.0;215
2;0.0;9148.0;9174.0;225
2;0.0;9542.0;9558.0;235
2;0.0;9912.0;9969.0;245
2;0.0;271.0;280.0;0
2;0.0;625.0;686.0;10
2;0.0;1018.0;1067.0;20
2;0.0;1397.0;1460.0;30
2;0.0;1773.0;1845.0;40
2;0.0;2169.0;2224.0;50
2;0.0;2622.0;2629.0;60
2;0.0;3011.0;3102.0;70
2;0.0;3337.0;3384.0;80
2;0.0;3749.0;3830.0;90
2;0.0;4135.0;4190.0;100
2;0.0;4551.0;4576.0;110
2;0.0;4936.0;5085.0;120
2;0.0;5301.0;5349.0;130
2;0.0;5711.0;5750.0;140
2;0.0;6152.0;6151.0;150
2;0.0;6608.0;6579.0;160
2;0.0;6920.0;6943.0;170
2;0.0;7330.0;7410.0;180
2;0.0;7641.0;7717.0;190
2;0.0;8085.0;8164.0;200
2;0.0;8504.0;8521.0;210
2;0.0;8917.0;8985.0;220
2;0.0;9307.0;9380.0;230
2;0.0;9724.0;9753.0;240
2;0.0;10141.0;10172.0;250
2;0.0;392.0;473.0;5
2;0.0;830.0;876.0;15
2;0.0;1211.0;1272.0;25
2;0.0;1593.0;1636.0;35
2;0.0;1994.0;2028.0;45
2;0.0;2409.0;2447.0;55
2;0.0;2833.0;2856.0;65
2;0.0;3239.0;3220.0;75
2;0.0;3533.0;3597.0;85
2;0.0;3938.0;4021.0;95
2;0.0;4429.0;4445.0;105
2;0.0;4740.0;4876.0;115
2;0.0;5141.0;5205.0;125
2;0.0;5594.0;5600.0;135
2;0.0;5918.0;5972.0;145
2;0.0;6284.0;6332.0;155
2;0.0;6736.0;6852.0;165
2;0.0;7150.0;7227.0;175
2;0.0;7580.0;7578.0;185
2;0.0;7962.0;7997.0;195
2;0.0;8299.0;8348.0;205
2;0.0;8630.0;8625.0;215
2;0.0;9104.0;9156.0;225
2;0.0;9572.0;9539.0;235
