CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.3;584.0;647.0;10.0
2.0;0.3;1012.0;1056.0;20.0
2.0;0.3;1409.0;1441.0;30.0
2.0;0.3;1800.0;1825.0;40.0
2.0;0.3;2141.0;2209.0;50.0
2.0;0.3;2622.0;2632.0;60.0
2.0;0.3;2947.0;2944.0;70.0
2.0;0.3;3409.0;3367.0;80.0
2.0;0.3;3710.0;3787.0;90.0
2.0;0.3;4145.0;4157.0;100.0
2.0;0.3;4523.0;4607.0;110.0
2.0;0.3;4965.0;4958.0;120.0
2.0;0.3;5286.0;5272.0;130.0
2.0;0.3;5738.0;5837.0;140.0
2.0;0.3;6190.0;6183.0;150.0
2.0;0.3;6682.0;6545.0;160.0
2.0;0.3;7000.0;6881.0;170.0
2.0;0.3;7507.0;7395.0;180.0
2.0;0.3;7821.0;7770.0;190.0
2.0;0.3;8166.0;8036.0;200.0
2.0;0.3;8518.0;8564.0;210.0
2.0;0.3;8810.0;8890.0;220.0
2.0;0.3;9104.0;9288.0;230.0
2.0;0.3;9655.0;9616.0;240.0
2.0;0.3;10215.0;10126.0;250.0
2.0;0.3;373.0;443.0;5.0
2.0;0.3;804.0;835.0;15.0
2.0;0.3;1204.0;1245.0;25.0
2.0;0.3;1593.0;1635.0;35.0
2.0;0.3;1948.0;2005.0;45.0
2.0;0.3;2368.0;2385.0;55.0
2.0;0.3;2793.0;2808.0;65.0
2.0;0.3;3139.0;3193.0;75.0
2.0;0.3;3567.0;3570.0;85.0
2.0;0.3;3935.0;4018.0;95.0
2.0;0.3;4325.0;4343.0;105.0
2.0;0.3;4864.0;4747.0;115.0
2.0;0.3;5243.0;5220.0;125.0
2.0;0.3;5662.0;5594.0;135.0
2.0;0.3;6046.0;5913.0;145.0
2.0;0.3;6448.0;6386.0;155.0
2.0;0.3;6910.0;6761.0;165.0
2.0;0.3;7141.0;7139.0;175.0
2.0;0.3;7556.0;7532.0;185.0
2.0;0.3;7882.0;7958.0;195.0
2.0;0.3;8222.0;8326.0;205.0
2.0;0.3;8616.0;8576.0;215.0
2.0;0.3;9327.0;9075.0;225.0
2.0;0.3;9803.0;9355.0;235.0
2.0;0.3;10408.0;9869.0;245.0
2.0;0.3;279.0;280.0;0.0
2.0;0.3;590.0;643.0;10.0
2.0;0.3;1005.0;1038.0;20.0
2.0;0.3;1417.0;1426.0;30.0
2.0;0.3;1785.0;1836.0;40.0
2.0;0.3;2178.0;2187.0;50.0
2.0;0.3;2562.0;2590.0;60.0
2.0;0.3;3047.0;3031.0;70.0
2.0;0.3;3422.0;3403.0;80.0
2.0;0.3;3840.0;3820.0;90.0
2.0;0.3;4296.0;4218.0;100.0
2.0;0.3;4642.0;4550.0;110.0
2.0;0.3;5115.0;5009.0;120.0
2.0;0.3;5396.0;5313.0;130.0
2.0;0.3;5851.0;5716.0;140.0
2.0;0.3;6170.0;6152.0;150.0
2.0;0.3;6590.0;6543.0;160.0
2.0;0.3;6866.0;6909.0;170.0
2.0;0.3;7190.0;7273.0;180.0
2.0;0.3;7654.0;7599.0;190.0
2.0;0.3;8117.0;8111.0;200.0
2.0;0.3;8806.0;8557.0;210.0
2.0;0.3;9224.0;8943.0;220.0
