CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.6;598.0;379.0;10;
2;0.6;959.0;528.0;20;
2;0.6;1317.0;683.0;30;
2;0.6;1670.0;809.0;40;
2;0.6;2034.0;970.0;50;
2;0.6;2455.0;1219.0;60;
2;0.6;2837.0;1366.0;70;
2;0.6;3220.0;1492.0;80;
2;0.6;3601.0;1800.0;90;
2;0.6;4014.0;1960.0;100;
2;0.6;4372.0;2050.0;110;
2;0.6;4760.0;2266.0;120;
2;0.6;5146.0;2496.0;130;
2;0.6;5529.0;2598.0;140;
2;0.6;5948.0;3066.0;150;
2;0.6;6422.0;2987.0;160;
2;0.6;6772.0;3374.0;170;
2;0.6;7117.0;3178.0;180;
2;0.6;7554.0;3251.0;190;
2;0.6;8000.0;3397.0;200;
2;0.6;8455.0;3796.0;210;
2;0.6;8967.0;4451.0;220;
2;0.6;9264.0;4241.0;230;
2;0.6;9655.0;4493.0;240;
2;0.6;10125.0;4895.0;250;
2;0.6;396.0;298.0;5;
2;0.6;779.0;506.0;15;
2;0.6;1142.0;694.0;25;
2;0.6;1493.0;929.0;35;
2;0.6;1903.0;1074.0;45;
2;0.6;2308.0;1329.0;55;
2;0.6;2616.0;1527.0;65;
2;0.6;3025.0;1779.0;75;
2;0.6;3467.0;1906.0;85;
2;0.6;3798.0;2012.0;95;
2;0.6;4225.0;2372.0;105;
2;0.6;4648.0;2508.0;115;
2;0.6;4938.0;2637.0;125;
2;0.6;5337.0;2819.0;135;
2;0.6;5807.0;3128.0;145;
2;0.6;6118.0;3349.0;155;
2;0.6;6547.0;3444.0;165;
2;0.6;6964.0;3773.0;175;
2;0.6;7439.0;3967.0;185;
2;0.6;7744.0;4136.0;195;
2;0.6;8203.0;4086.0;205;
2;0.6;8661.0;4490.0;215;
2;0.6;9122.0;4771.0;225;
2;0.6;9516.0;5071.0;235;
2;0.6;9880.0;5112.0;245;
2;0.6;276.0;278.0;0;
2;0.6;587.0;416.0;10;
2;0.6;936.0;590.0;20;
2;0.6;1314.0;812.0;30;
2;0.6;1688.0;980.0;40;
2;0.6;2083.0;1223.0;50;
2;0.6;2437.0;1439.0;60;
2;0.6;2851.0;1580.0;70;
2;0.6;3249.0;1842.0;80;
2;0.6;3579.0;1955.0;90;
2;0.6;4045.0;2089.0;100;
2;0.6;4395.0;2402.0;110;
2;0.6;4859.0;2717.0;120;
2;0.6;5209.0;2851.0;130;
2;0.6;5613.0;3066.0;140;
2;0.6;6061.0;3247.0;150;
2;0.6;6424.0;3404.0;160;
2;0.6;6826.0;3544.0;170;
2;0.6;7140.0;3742.0;180;
2;0.6;7703.0;4086.0;190;
2;0.6;8129.0;4349.0;200;
2;0.6;8541.0;4504.0;210;
2;0.6;8837.0;4659.0;220;
2;0.6;9247.0;4746.0;230;
2;0.6;9550.0;5070.0;240;
2;0.6;10008.0;5370.0;250;
2;0.6;389.0;298.0;5;
2;0.6;769.0;495.0;15;
2;0.6;1121.0;698.0;25;
2;0.6;1506.0;904.0;35;
2;0.6;1872.0;1097.0;45;
2;0.6;2282.0;1312.0;55;
2;0.6;2631.0;1524.0;65;
2;0.6;3040.0;1753.0;75;
2;0.6;3395.0;1928.0;85;
2;0.6;3768.0;2132.0;95;
2;0.6;4239.0;2360.0;105;
2;0.6;4556.0;2576.0;115;
2;0.6;4996.0;2719.0;125;
2;0.6;5445.0;2973.0;135;
2;0.6;5819.0;3167.0;145;
2;0.6;6217.0;3386.0;155;
2;0.6;6569.0;3659.0;165;
2;0.6;7024.0;3796.0;175;
2;0.6;7403.0;4040.0;185;
2;0.6;7799.0;4214.0;195;
2;0.6;8329.0;4417.0;205;
2;0.6;8669.0;4572.0;215;
2;0.6;9038.0;4711.0;225;
2;0.6;9485.0;4840.0;235;
2;0.6;9983.0;5278.0;245;
2;0.6;278.0;281.0;0;
2;0.6;577.0;416.0;10;
2;0.6;940.0;606.0;20;
2;0.6;1339.0;809.0;30;
2;0.6;1715.0;1012.0;40;
2;0.6;2136.0;1190.0;50;
2;0.6;2505.0;1456.0;60;
2;0.6;2885.0;1626.0;70;
2;0.6;3172.0;1793.0;80;
2;0.6;3613.0;2032.0;90;
2;0.6;4021.0;2260.0;100;
2;0.6;4447.0;2446.0;110;
2;0.6;4805.0;2707.0;120;
2;0.6;5160.0;2872.0;130;
2;0.6;5629.0;3059.0;140;
2;0.6;5952.0;3249.0;150;
2;0.6;6320.0;3468.0;160;
2;0.6;6802.0;3723.0;170;
2;0.6;7274.0;3884.0;180;
2;0.6;7656.0;4185.0;190;
2;0.6;8137.0;4334.0;200;
2;0.6;8609.0;4436.0;210;
2;0.6;8896.0;4739.0;220;
