CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2;0.0-r1;2330.0;1874.0;10
2;0.0-r1;2627.0;2111.0;20
2;0.0-r1;2982.0;2223.0;30
2;0.0-r1;3268.0;2228.0;40
2;0.0-r1;3169.0;1660.0;50
2;0.0-r1;3216.0;1532.0;60
2;0.0-r1;3629.0;1683.0;70
2;0.0-r1;4041.0;1829.0;80
2;0.0-r1;4474.0;2007.0;90
2;0.0-r1;4855.0;2095.0;100
2;0.0-r1;5266.0;2461.0;110
2;0.0-r1;5813.0;2415.0;120
2;0.0-r1;6432.0;2993.0;130
2;0.0-r1;6854.0;3116.0;140
2;0.0-r1;7072.0;2959.0;150
2;0.0-r1;7036.0;2562.0;160
2;0.0-r1;7310.0;2651.0;170
2;0.0-r1;7876.0;3177.0;180
2;0.0-r1;8516.0;3385.0;190
2;0.0-r1;8865.0;3522.0;200
2;0.0-r1;9145.0;3131.0;210
2;0.0-r1;9637.0;3730.0;220
2;0.0-r1;9919.0;3785.0;230
2;0.0-r1;10321.0;3907.0;240
2;0.0-r1;10627.0;3949.0;250
2;0.0-r1;2311.0;2261.0;5
2;0.0-r1;2692.0;2363.0;15
2;0.0-r1;2835.0;2209.0;25
2;0.0-r1;3310.0;2433.0;35
2;0.0-r1;3573.0;2436.0;45
2;0.0-r1;3873.0;2526.0;55
2;0.0-r1;3925.0;2321.0;65
2;0.0-r1;4140.0;2097.0;75
2;0.0-r1;4382.0;1994.0;85
2;0.0-r1;4061.0;1744.0;95
2;0.0-r1;4533.0;1957.0;105
2;0.0-r1;4929.0;2202.0;115
2;0.0-r1;5270.0;2442.0;125
2;0.0-r1;5756.0;2564.0;135
2;0.0-r1;5845.0;3067.0;145
2;0.0-r1;6670.0;3326.0;155
2;0.0-r1;6880.0;3468.0;165
2;0.0-r1;7197.0;3655.0;175
2;0.0-r1;7682.0;3770.0;185
2;0.0-r1;8074.0;4058.0;195
2;0.0-r1;8550.0;4401.0;205
2;0.0-r1;8779.0;4563.0;215
2;0.0-r1;9367.0;4670.0;225
2;0.0-r1;9696.0;4846.0;235
2;0.0-r1;10239.0;5120.0;245
2;0.0-r1;270.0;277.0;0
2;0.0-r1;593.0;370.0;10
2;0.0-r1;1006.0;519.0;20
2;0.0-r1;1423.0;680.0;30
2;0.0-r1;1799.0;830.0;40
2;0.0-r1;2269.0;1006.0;50
2;0.0-r1;2656.0;1141.0;60
2;0.0-r1;3054.0;1299.0;70
2;0.0-r1;3497.0;1595.0;80
2;0.0-r1;3893.0;1686.0;90
